"id","username","full_name","category_niche","public_email","biography","external_url","subscribers","follower_count","following_count","engagement_rate","avg_like","avg_comment","avg_share","avg_play_video","total_likes","comment_rate","comment_like_ratio","video_count","avg_post_interval","private_account","verified","phone_country_code","phone_number","city","zip","Country","account_type","language","gender","age","ethnicity","hashtag","mentions"
"34","hiccup_simp","Eve","Fitness","sfsd@gmail.com","<<< people who�ve read how to train your dragon all i know it provide trees CO2","-","1000000","14","797","213.14","29,581","259","294","86,105","1,400,000","0.034","1.843","19","2.03","false","false","1","18456423697","Chicago, Illinois","60613","USA","2","en","male","17","Black","greenscreen, httyd, howtotrainyourdragon, hiccup, toothless, rickymontgomery, mrloverman, concert, fyp, dragons, astrid","[""@username"",""@username""]"
"35","vetmedms","Vet Med of Corinth","Fitness","sfsd@gmail.com","(empty)","-","1000000","13","171","297.47","38,604","66","654","268,830","541,600","0.035","2.415","71","13.23","false","false","0",,"London, United Kingdom","WD6 2JA","UK","2","en","female","65","Asian","ratatouillesong, frenchie, frenchiesoftiktok, frenchiepuppies, frenchbulldog, frenchbulldogs, vetmed, vetlife, labradorpuppy, labpuppy, yellowlab, sunshine","[""@username"",""@username""]"
"36","calyetts","Calley ??","Fitness","sfsd@gmail.com","DTX 22","-","1000000","17","472","116.61","20,176","114","467","423,530","172,400","0.081","5.486","5","31.2","false","false","1","16048731914","Carlsbad, California","92010","USA","3","en","female","33","Hispanic","popcornduet, foryou, fyp, perfectasiam, learnontiktok, soapbop, foryoupge, yoplaitcuprelay, finalsathome, morph, ownthecurve, tiktokcovers, coloradocheck","[""@username"",""@username""]"
"37","casssidybrooke","Cass","Fitness","sfsd@gmail.com","Follow my insta- Casssidy.brooke ?? Hat page- Wildrosehatworks ??","-","1000000","17","42","129.28","22,050","58","565","147,017","132,300","0.48","3.999","4","5.23","false","false","0",,"Wilsonville, Oregon","97070","USA","2","en","male","17","White","westerfashion, fyp, nfrfashion, westernfashion, photoshoot","[""@username"",""@username""]"
"38","gigithebird","gigi","Fitness","sfsd@gmail.com","the life of gigi","-","1000000","10","11","441.02","44,917","508","3,805","204,783","273,200","0.051","2.115","6","16.21","false","false","1","19493067390","Cambridge, Cambridgeshire","CB4 2HY","UK","3","en","female","65","Black","fyp, viral, greencheekconure, birdsoftiktok, conuresoftiktok, funnyanimals, conure, bird","[""@username"",""@username""]"
"39","josh_pass","Josu� Valdez","Fitness","sfsd@gmail.com","(???)?","-","1000000","11","518","187.59","21,555","205","57","106,850","621,400","0.011","1.462","68","4.19","false","false","0",,"Wilsonville, Oregon","97070","USA","2","en","female","34","Asian","halp, birbsoftiktok, fou, 36secondsoflightwork, aui, helpme, fup?, nature, rainbow, traveling, randomthings, lovememode, timelapse","[""@username"",""@username""]"
"40","charleigh.morriss","charleigh sue","Fitness","sfsd@gmail.com","ur mom venice flawda venmo charleigh-morris","-","1000000","23","659","146.41","34,510","335","101","138,783","1,900,000","0.014","1.569","365","1.04","false","false","0",,"Cambridge, Cambridgeshire","CB4 2HY","UK","2","en","male","65","Hispanic","venicehighschool, stairs, stairwell, tiktokhigh, venice, vhs, duet, staircase","[""@username"",""@username""]"
"41","love00722","love00722","Fitness","sfsd@gmail.com","(empty)","-","1000000","12","0","279.73","34,465","1,061","500","838,033","208,100","0.015","1.935","3","1","false","false","1","13302529220","Akron, Ohio","44307","USA","2","en","female","33","White","seeds, plants, foryou, succulent","[""@username"",""@username""]"
"42","chelsieskye","Chels","Fitness","sfsd@gmail.com","just me n biddies Instagram - @chelsienosworthy","-","1000000","46","289","55.48","25,430","92","198","312,100","159,000","0.012","1.18","5","28.22","false","false","1","15128473013","Wimberley, Texas","78676","USA","2","en","male","17","Black","fyp, beach, kisses, alone","[""@username"",""@username""]"
"43","ciara_mclaughlin","CiCi","Fitness","sfsd@gmail.com","I am temporarily banned, bare with me??????","-","1000000","16","570","286.93","46,773","283","42","364,933","439,200","0.006","0.85","337","2.06","false","false","1","12124319109","Wimberley, Texas","78676","USA","2","en","female","65","Asian","greenscreenvideo, fyp, dad, greenscreen, oof, teacher, pretty, plutotvdecades","[""@username"",""@username""]"
"44","clara4val","Clara","Fitness","sfsd@gmail.com","Proud mother of 13168 children","-","1000000","13","152","159.31","20,738","132","225","116,984","311,600","0.253","20.098","6","13.11","false","false","0",,"Austin, Texas","78676","USA","2","en","female","33","Hispanic","fy, fyp, greenscreen, bfb, friendship, foryou, corpse, corpsehusband, bye, foryoupage","[""@username"",""@username""]"
"45","joey_swofford11","Joey Swofford","Fitness","sfsd@gmail.com","BLM","-","1000000","49","292","81.19","39,769","419","885","115,264","1,800,000","0.003","0.405","34","1.19","false","false","0",,"Wimberley, Texas","78676","USA","2","en","male","17","White","gay, lgbt, fyp, foryou, takethedayoffchallenge, stitch, gabbiehanna, xyzbca, foryoupage, tiktokggt, airpodsjump, overshareinyourunderwear, shrek, barbie, springbreak","[""@username"",""@username""]"
"46","kaallie.dawson","Kaallie.dawson","Fitness","sfsd@gmail.com","Virginiaaaa babyyy","-","1000000","31","352","129.24","40,834","136","521","198,983","246,800","0.015","1.642","9","3.19","false","false","1","19096274256","Chino, California","91710","USA","2","en","female","65","Black","rain, va, pinkgun, barnlife, skunk, iykyk, fyp, barn, horsegirl, redbarn, horsegirlcheck, mares, maresarecrazy, wedoboth, horsegirls, horsepeople, foryoupage, xyzbca","[""@username"",""@username""]"
"47","melissamarin673","Melissa Marin","Fitness","sfsd@gmail.com","(empty)","-","1000000","14","207","225.97","32,827","165","886","304,773","571,500","0.011","0.907","9","11.17","false","false","1","18559836753","Warman, Saskatchewan","L4L3K3","Canada","2","en","female","33","Asian","cabininthewoods, catsoftiktok, cat, funny, fyp, travelmemories, dogsoftiktok, foryou, tiktokartists, randomdog","[""@username"",""@username""]"
"48","dblower","Dominic Blower","Fitness","sfsd@gmail.com","Mn?? 17","-","1000000","42","698","105.08","43,782","666","534","156,064","599,800","0.086","1.366","46","19.5","false","false","0",,"Wimberley, Texas","78676","USA","3","en","male","17","Hispanic","cartoks","[""@username"",""@username""]"
"49","panuco863","panuco863","Fitness","sfsd@gmail.com","22 year old Mexican ????   ??Michigan                     Puro Durango ??","-","1000000","22","1","219.22","48,872","232","380","202,508","293,800","0.039","4.767","8","19.6","false","false","1","16313317447","New York, New York","78676","USA","2","en","female","65","White","winter, holydays, caballos, horse, fyp, snow, stallion, pre, snowy, midwest, totalled, silverado, chevrolet, gone, fml, sadmexicanhours, horsesontiktok, foals, horses, chacho, nomames, alvuwki","[""@username"",""@username""]"
"50","flyingjsranch","Mariahjohnjo","Fitness","sfsd@gmail.com","IG: Flying J�s Ranch Glen Rose, TX Animals are my thang ??Venmo: mariahjohnjo","-","1000000","30","53","84.95","25,848","147","45","157,582","677,000","0.002","0.29","67","3.23","false","false","49","4.94972E+12","Backnang","71522","Germany","2","en","male","65","Black","animalrescue, donkeyrescue, mulerescue, horserescue, dogrescue, dogsanctuary, doglove, horseranch, goatlove, goatrescue, goatlovers, animalfarm, puppylove","[""@username"",""@username""]"
